"gene_id"	"AM-WT_R1"	"AM-WT_R2"	"AM-WT_R3"	"CD206neg-IM-CRE_R1"	"CD206neg-IM-CRE_R2"	"CD206neg-IM-CRE_R3"	"CD206neg-IM-WT_R1"	"CD206neg-IM-WT_R2"	"CD206neg-IM-WT_R3"	"CD206pos-IM-CRE_R1"	"CD206pos-IM-CRE_R2"	"CD206pos-IM-CRE_R3"	"CD206pos-IM-WT_R1"	"CD206pos-IM-WT_R2"	"CD206pos-IM-WT_R3"	"Ly6Cpos-Mo-WT_R1"	"Ly6Cpos-Mo-WT_R2"	"Ly6Cpos-Mo-WT_R3"
"ENSMUSG00000000149"	1521	1704	1833	3478	4348	4546	4116	4817	4315	5303	6845	4907	5978	6586	5844	1068	918	1223
"ENSMUSG00000000154"	303	311	474	47	39	76	62	70	51	50	43	36	56	70	74	58	63	36
"ENSMUSG00000000157"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000159"	0	0	0	13	0	58	0	0	16	0	0	2	2	0	6	2	0	0
"ENSMUSG00000000167"	8	14	13	7	9	12	10	4	9	3	15	8	7	11	2	4	3	1
"ENSMUSG00000000168"	988	1157	1158	442	552	559	417	468	435	481.999	658	519	542	624	558	618	524	586
"ENSMUSG00000000171"	2089	2054	2141	873	955	1070	775	865	783	1157	1135	1130	946	915	881	1456	1277	1657
"ENSMUSG00000000182"	0	0	0	6	2	10	0	1	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000183"	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000184"	11380.998	11646	12687	1853	1796	2382	2506	2644.999	2360	1744	1928	1929	2358	2344	2352	642.001	371	519.001
"ENSMUSG00000000194"	1494	1404	1443	1430	1587	1711.001	1337	1555	1207	1375	1888.999	1414	1525	1290	1539.001	1375	1195	1028
"ENSMUSG00000000197"	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000202"	5	12	0	35	14	36	9	8	3	31	0	17	8	0	8	0	0	0
"ENSMUSG00000000204"	77.01	92.005	71.018	76.004	30.016	78	10.003	55.023	32	43	33.002	41.01	21	32.005	33.001	2495.086	1912.541	1017.039
"ENSMUSG00000000214"	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000215"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000216"	16	8	50	9	15	97	5	8	73	6	4	15	24	11	15	0	10	24
"ENSMUSG00000000223"	0	2	0	0	4	12	1	1	0	0	9	0	0	0	2	0	0	0
"ENSMUSG00000000244"	743	915.999	773.001	403	565.001	615	397	468	417.999	572	730	606.999	326	392.999	320	258	181.001	225
"ENSMUSG00000000247"	8	7	3	1	0	0	0	0	1	0	0	0	0	0	0	2	0	0
"ENSMUSG00000000248"	0	0	0	8	7	2	0	0	0	14	6	11	0	13	3	18	26	34
"ENSMUSG00000000253"	1816	1911	2003	101	95	187	89	124	136	119	159	188	162	160	109	60	32	32
"ENSMUSG00000000263"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000266"	26	34	106	76	34	236	28	34	135	63	27	41	40	18	110	11	35	12
"ENSMUSG00000000275"	17584	21220	23162	5303	5997	5261	5387	6209	4772	4542	6359	3896	5492	5569	6057	24802	18342	20208
"ENSMUSG00000000276"	491	576.999	595.001	123	164	193.001	118	125	176	119	203	107	107.999	120	138	230	189	187
"ENSMUSG00000000278"	1933	2084	2309	4773	4447	5787	4609	4115	4885	6252	6740	6419	6196	5211	6833	4427	3082	3951
"ENSMUSG00000000282"	885	1015	800	1652	1920	2257	1944.001	2065	2168	1559	1950	1614	2050	1922	1879	2988.999	2789	2482
"ENSMUSG00000000290"	38500	41476.999	43031	9058	9345.999	11148	10205	10260	11305	9013	10020	9563	10412.999	10649	10920.999	37157	28568	34366
"ENSMUSG00000000295"	89	117	144	37	45	82	37	49	34	57	80	61	26	35	54	78	51	82
"ENSMUSG00000000296"	0	1	0	0	1	6	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000301"	31	23	20	8	15	21	15	9	22	13	26	19	8	6	9	9	23	5
"ENSMUSG00000000303"	2047	2293	2203	330	99	901	81	110	168	129	65	210	75	108	100	80	88	81
"ENSMUSG00000000305"	0	6	7	2	0	35	0	2	11	8	0	10	2	0	3	3	10	0
"ENSMUSG00000000308"	0	0	5	19	7	138	1	2	0	11	0	3	11	0	1	1	0	0
"ENSMUSG00000000317"	5	10	46	55	10	220	18	8	72	5	21	66	45.001	29	49	18	36	38
"ENSMUSG00000000318"	92	47.281	32.936	746.456	798.166	839.115	382.341	381.341	403.506	2201.157	2782.439	2118.797	1840.865	2043.868	2126.929	1371.009	900.451	1533.34
"ENSMUSG00000000320"	0	1	16	6	6	33	9	2	23	7	12	5	5	0	5	0	3	13
"ENSMUSG00000000325"	62	100	110	162.999	169	296.999	203	204	272.999	147	211.001	178.001	207.999	163	195	31	30	49.001
"ENSMUSG00000000326"	4178.001	4149	5091	1468.999	1592	2273	1521	1628	1585	2086	2505	2434	1902	1886	2004.001	1278.999	1017	990
"ENSMUSG00000000339"	278	287	433	146	239	252	171	158	202	176	232	165	200	216	204.999	289	262	272
"ENSMUSG00000000340"	234	315	280	242	218	210	167	250	188	284	282	201	179	227	230	172	182	163
"ENSMUSG00000000346"	9099	10830	10217	8015	7425	9120	8950	8853	9352	9787	10738	9722	10558	10198	11918	15766	12754	17390
"ENSMUSG00000000355"	469.001	579.999	544	308.999	296	421.001	263	287.999	305	327	338	412.001	272.999	416	376	520	476.001	525
"ENSMUSG00000000359"	128	223	161	7	15	23	10	10	5	19	29	16	15	0	8	62.999	100	37
"ENSMUSG00000000365"	17	22	39	6	5	14	19	26	21	9	12	7	10	4	12	6	0	0
"ENSMUSG00000000374"	1605	1622	1556.001	1394.001	1424.999	1444	1251	1344	1268.999	1184	1675	1345	1359.999	1375	1614.999	2135.001	1944	1606
"ENSMUSG00000000378"	935	893.001	1058	564	673.999	959	674	773	827	754	837	799.999	960	595	1000	1052.999	904	1075
"ENSMUSG00000000381"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000384"	679.999	768.999	917	524	635.002	691	555	592	622	500.001	677.002	465	534	508	485.999	588	475.001	621.001
"ENSMUSG00000000385"	13	3	55	44	2	253.999	0	14	41	29	8	49	11	8	11	2	9	9
"ENSMUSG00000000392"	2	7	3	117.999	54	130.999	56	49	80	113	134	143	65	84	83	14	8	9
"ENSMUSG00000000394"	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000399"	1395	1291	1455	747	639	931	671	699	622	832	1058	902	642	850	844	963	834	1123
"ENSMUSG00000000402"	13	27	52	31	1	169	20	18	39	15	12	36	8	5	17	3	3	7
"ENSMUSG00000000409"	74	45	39	55	43	48	68	57	46	51	37	31.999	29	49	35	136	88	110
"ENSMUSG00000000411"	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
"ENSMUSG00000000416"	0	0	18	6	2	17	0	1	13	1	6	4	9	0	4	2	0	0
"ENSMUSG00000000420"	1408	1979	1493	2247	2213.001	2028.001	2368.001	2695	2384.001	2808.999	3144	2353	2920	3602	3668	2989	2622	2867.001
"ENSMUSG00000000435"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000439"	364	454	296	243	288	341	275	296	265.999	234	414.001	305	279	393	281	313	298	301
"ENSMUSG00000000440"	5602.001	5584	5430	274	311	418	493	386	437	238	297	259	277	280.001	364	335	315	325
"ENSMUSG00000000441"	3039.999	3530	3354	1614.001	1823	2289.001	1768	2143	1851.001	1538.001	1965	1559	1847.999	1935	1925.999	3405	2855.001	3064
"ENSMUSG00000000486"	33.001	44	42	64.001	79.001	59	97.001	46	40	51	46	35	34	66	55	167	80.999	130.001
"ENSMUSG00000000489"	96	99	90	2059	2731	2658	3396	3230	3037	1909	2716	2046	2298	2240	2572	456	363	333
"ENSMUSG00000000530"	1860	1920	2603.999	2357.999	2360	4927.001	4060	4128.999	5132	1997	2204.001	2388	3259	2628	3281	1820.999	1355	1763
"ENSMUSG00000000531"	344	258	372	852	669	1304	864	596	879	310	305	419	442	201	408	304	182	160
"ENSMUSG00000000532"	2105	2680	2407	531	525	647	435	745	497	466	604	483	571	651	542	788	832	602
"ENSMUSG00000000538"	844	821	987	515	787	972	646	584	732.001	566	812	580	733	813	776.001	499	278	308
"ENSMUSG00000000544"	1	2	0	0	0	0	0	3	1	0	2	0	0	0	0	0	0	0
"ENSMUSG00000000552"	1483	1633	1703	2287	2497.999	2491	2154.999	2548	2286	1857	2477.999	1775	2071	2328	1996	2176	2348	1984
"ENSMUSG00000000555"	2174	2211	2716	8673	8546.999	12592	14613	8746	14078	6846.001	8163	8637.001	10303.999	5449	11459	5201	2825	4990
"ENSMUSG00000000560"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000561"	590	585	683	401.999	357	444	360	428.001	292	368	392	252	322	383	329.999	333	254	246
"ENSMUSG00000000562"	90.907	97	102	36	29.209	38	59	78.237	35	26	9	19	43	35	41	27	17	22
"ENSMUSG00000000563"	4120	4371	4126	2054	2203	2806	2027	1929.999	1789	2387	2640.001	2358.999	2028	2272.001	2307	4176.001	3583	5108
"ENSMUSG00000000567"	2	6	7	19	3	18	4	3	3	4	3	7	1	0	2	0	0	0
"ENSMUSG00000000568"	1760.999	2053.999	1619	1738	1516	1701.999	1768	1887	1708.001	1797	1844.999	1340.999	1497.001	1942	2035.001	2926	2650.001	1959
"ENSMUSG00000000579"	66.528	153.47	122.378	126.232	144.048	164.374	149.527	186.944	184	139.842	190.878	157.044	149.778	244.297	148.626	181.092	150.961	198.983
"ENSMUSG00000000581"	813.999	953	827	385	273	289	261.001	254	242	338	344	282.999	257	417	440	789	721	754.001
"ENSMUSG00000000594"	7842	7602	8714	8881	8898	10155	8808	8888	8675	8188	8985	8736	6886	6924	7231	20328	18041	22471
"ENSMUSG00000000600"	523.999	616	436.999	742	840.001	617.999	611	761	636	664	729.001	565.998	487	738	575.001	726.999	633	512.001
"ENSMUSG00000000605"	2589.001	2574	2332.999	2110	2081.001	2328	2449.001	2431.001	2371.001	2132	2495	2020	2591	2261.001	2834	1987.001	1977	1854
"ENSMUSG00000000606"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000617"	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0
"ENSMUSG00000000627"	2	1	11	32	5	57	0	4	9	4	4	8	7	9	9	17	0	0
"ENSMUSG00000000628"	993	1102	870	1705	1649	2224	1488	1666	2094	1655	1955	2200	2184	1715	2332	1398	1425	739
"ENSMUSG00000000631"	1309.999	1590	1699.999	2506	2953.003	2876	2945.999	3358.002	3175.001	2359	3048.999	2391.999	2862	2849	3210	2962	2967.001	2563
"ENSMUSG00000000632"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000673"	79	66	93	135	169	161.001	167	190	166	73	94.001	78	40	32	65	676.999	624	672
"ENSMUSG00000000682"	2411	2238	2883	5345	5589	7481	5954	5382	5583	4853	5602	5824	4391	3896	4426	13783	10726	19154
"ENSMUSG00000000686"	264	379	268	293	374	204	282	544	323	195	286	144	184	288	179	217	205	144
"ENSMUSG00000000690"	0	0	0	20	1	17	1	1	5	1	0	5	0	0	0	2	0	3
"ENSMUSG00000000693"	6	0	7	151	186	281	177	246.999	229	201	243	231	203.001	204	240.001	52	38	36
"ENSMUSG00000000701"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000706"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000708"	551	718	568	1135	1071	1247	1212.999	1289	1285	1423	1616.999	1089	1296	1466	1645	2192	1718	1728
"ENSMUSG00000000711"	3732	4369	3688	1732	2025	2101	1960	2018	2083	2072	2934	1997	2283	2697	2444	2971	2433	2280
"ENSMUSG00000000724"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000730"	0	5	0	0	4	2	2	0	0	0	2	8	0	0	0	1	0	8
"ENSMUSG00000000731"	0	0	0	0	0	1	2	8	0	0	1	0	1	0	2	0	0	0
"ENSMUSG00000000732"	1258.001	1212.999	1425.999	2286.999	2563	2528	2971	3126	3530	2029.999	2445	1716.001	2175	1914	2177	640	490.999	481
"ENSMUSG00000000738"	997.001	953	1025.999	703.001	745.999	1125	900	929	806.001	660.999	917	870.999	820.001	682	778.001	908.999	752.001	797
"ENSMUSG00000000739"	0	7	0	4	2	35	0	4	14.999	3	2	6	7	0	3	0	0	0
"ENSMUSG00000000740"	10768	10912	12767.001	11507	11767	16693.999	12653	11462.999	13096.001	12032.999	13720	14482	12682.999	9563	13053	18701	14671	26484.999
"ENSMUSG00000000743"	2531	2312	2875	1116	1332	1689	1228	1259.001	1111.999	1379	1520	1421	1274	1550	1251	1872	1695	2115
"ENSMUSG00000000751"	1689	1748	1641	627	756.999	892	642	782	625	793.999	880	750	715	833	748	595	603	607
"ENSMUSG00000000753"	6	7	12.999	906	852.001	1049	1258	1043	1165.001	1251	1319	1085	1151.999	1362.999	1342.001	5	23	0
"ENSMUSG00000000759"	732	743	742	709	953.001	976.999	745.001	879	755	705	901	665.999	763	749.999	783.999	978.001	767	734.001
"ENSMUSG00000000766"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000776"	405.001	509	407	331.001	252.999	448	323	318	332	310	320	298.999	369.999	332	426.999	395	345.999	355
"ENSMUSG00000000782"	78	59	58	62	81	47	48	50	72	57	67	26	38	110	48	124	105	94
"ENSMUSG00000000787"	16434	18615	18394	14774	14032	12777	19308	18422	22549.999	18497	20184	16660	24909	24635	31071	18893	14411.001	18578.001
"ENSMUSG00000000791"	2	5	0	17	5	11	4	14	9	4	5	2	4	2	4	30	18	24
"ENSMUSG00000000792"	0	0	0	1	2	3	0	0	1	0	0	1	3	0	0	8	2	1
"ENSMUSG00000000794"	8399	10823	9562	46	13	216	45	26	31	23	4	43	109	152	169	280	85	89
"ENSMUSG00000000804"	1326	1612.999	1210	981	909	905	1112	1013	959.999	813	915	705	896	820	1002	2076.001	1612	1401
"ENSMUSG00000000805"	8908.999	12121	8934	167	51	660.001	29	69	216	67	15	139	182	171	245	312	184	271
"ENSMUSG00000000811"	51	48	73	99	106	207	89	131	99	195	161	122	175	127	218	103	40	56
"ENSMUSG00000000817"	15	7	20	4	13	9	23	18	19	1	8	0	1	15	12	59	11	9
"ENSMUSG00000000823"	392.999	523.001	458	339	382.999	448	381.999	482	374.999	275.999	411	268	282.001	463	403.001	206	206.999	148
"ENSMUSG00000000826"	4277.001	4796.999	4945	1945.001	2117.001	2157.999	1951	2322	2073.999	2174.999	2419	1954	2376.001	2344	2582	3564	2770	2689
"ENSMUSG00000000827"	1118	1139	1234.998	591	645.998	746	632	658.999	599.001	804	988.001	785.999	763.999	885.001	825.001	744	606.001	757
"ENSMUSG00000000838"	731.999	933.999	666	855.09	722.469	581	989.998	815.129	811.001	739	735.999	524.001	685	911	841	1061	811	649
"ENSMUSG00000000861"	20	11	7	68	67	45	42.999	54	42	40	47.999	50	16	62	16	289.001	385.001	170
"ENSMUSG00000000869"	0	1	0	0	5	1	0	0	0	0	0	0	0	0	1	0	0	0
"ENSMUSG00000000876"	1056	1322	1317	207	196	316	167	226	189	241	320	203	219	173	231	357	306	328
"ENSMUSG00000000881"	9	13	10	235	213	343.999	184	244.001	283.001	256	281	236	238.999	281	235	50	41	23
"ENSMUSG00000000884"	51	71	49.18	29	51.784	60	36	54.611	47	22.397	56.684	16	44.001	29	65	15	4	8
"ENSMUSG00000000889"	0	0	0	5	0	8	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000901"	2	7	33	36	21	127	15	18	45	31	53	33	47	31	53	4	0	3
"ENSMUSG00000000902"	990	1225	1330	741	828	1036	737	815	705	670	817.999	753.001	584	885	788.001	701.001	607	589
"ENSMUSG00000000903"	0	2	5	37	10	43	8	2	22	3	6	4	4	0	0	5	17	3
"ENSMUSG00000000915"	709.999	715	700	118	122	458.001	105	94	159	72	54	82	71	45.999	63	166	149	121
"ENSMUSG00000000916"	187	262	208	187	120	230.001	170	191	132	204	188.001	163.999	155	150	141	127	109	81.999
"ENSMUSG00000000934"	130	132	199	71	100	116	80	85	119	48	108	85	69	48	85	49	36	61
"ENSMUSG00000000938"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000942"	0	0	4	4	1	47	2	1	9	23	4	9	7	5	12	1	3	2
"ENSMUSG00000000948"	0	0	13.474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000957"	90	36	143	2252	2677.001	2648.999	3912	3697	4364	1435.001	1821.999	1263.999	2668.001	2101	2650.999	109	149	126
"ENSMUSG00000000958"	1184	1120	1123.001	735	727.001	695	864	749	884	831	933	776	863.999	904	895.999	994	745	940
"ENSMUSG00000000959"	988	973	1068	688	811.999	969.999	631.001	813	771	736.999	842	841.001	785	767	758.001	721.999	769	848.001
"ENSMUSG00000000976"	707	696	749	425.001	470	418	321	481	474	380	480	295.999	393	444	456	424.001	344	288
"ENSMUSG00000000982"	1838	3570	2464	5184	4308	7971	6453	7368	13474	4505	4045	6658	8076	5205	8359	318	258	263
"ENSMUSG00000000983"	0	0	0	0	2	2	1	4	0	10	3	6	11	0	15	6	26	9
"ENSMUSG00000001014"	0	18	34	11	13	39	48	21	27	11	16	16	21	0	15	1	0	2
"ENSMUSG00000001016"	685	736	804.999	660	553	711	529	598	544	526	598	512	546	633	570.999	548.001	438	474
"ENSMUSG00000001017"	2032.999	2319.999	2379	2001	1752.999	2273	2333	1895	2086.999	2181	2269.001	2074.001	2261.999	1945.999	2521	2444	2002	1859
"ENSMUSG00000001018"	973.001	1159	1116	656.999	642	947	738.999	703	736.999	891.001	1032.001	707.999	810.999	922	824.999	658	642	615
"ENSMUSG00000001020"	618	343	520	3415	2885	4881	1485	1424	1366	3645	3533	4056	1646	1599	1912	16577	12075	19055
"ENSMUSG00000001021"	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
"ENSMUSG00000001023"	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	3
"ENSMUSG00000001025"	585	288	586	1871	1450	3285	982.999	876	985	1873.999	1979.999	2175.999	936.001	680	1071	7822	5904	8065.999
"ENSMUSG00000001027"	0	1	2	6	2	2	0	4	7	0	6	0	0	0	0	5	4	3
"ENSMUSG00000001029"	82	99	191.001	244	101	886	96.999	99	246	122	77.001	198	118	78	145.999	381	355	442
"ENSMUSG00000001034"	308.999	381.999	385	396	458	573	559.999	519	530	361.001	466	347	442.999	406	446	741.001	637	584.999
"ENSMUSG00000001036"	26	34	109	200	126	431	152.999	173	228	249	343	257	376.001	390.999	407.999	29	20	50
"ENSMUSG00000001039"	9	2	8	8	18	67	19	9	12	20	4	17	3	19	28	0	0	0
"ENSMUSG00000001052"	1728	1869	1972.001	1843.001	1800.001	1925.999	1867	2253.001	1967	1299	1814	1381.001	1705	1814	1798.001	3823	2741	3283
"ENSMUSG00000001053"	63	116	110	148	103	268	192	94	144	100	114.001	118	162	49	103	40	35	73
"ENSMUSG00000001054"	460	572.001	634	228	233.999	290	125	232	203.001	195	245	177	186	255	160	405	399	333
"ENSMUSG00000001056"	841	917	969	417	472	684	428	480	506	475	530	609	488	501	552	493	307	597
"ENSMUSG00000001062"	666	580	618	1075	1138.001	1342.001	825.001	1115	947	832	1199.001	868	773	842	714	687.999	819	596.001
"ENSMUSG00000001065"	711.999	824	889	692	810.999	874.999	727.001	757	724	585	875.001	514	660	571	710	728.001	603	519
"ENSMUSG00000001076"	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000001082"	774.001	873.997	1173.001	864	995.999	1062.999	1047.999	997	1038.999	986.999	1154	1053.001	1073.999	706.001	853.999	779	673.001	910
"ENSMUSG00000001089"	2510.999	3003	2844	1225.001	1235	1458	1077	1261.999	1454	1210	1280	1008	1229	1073	1240	645	453	582
"ENSMUSG00000001095"	16	18	19	5	2	9	0	1	1	4	11	0	7	0	1	1	0	0
"ENSMUSG00000001098"	1597	1650.001	2051	1383	1273	2681	1045	1162	1214	1241.999	1448.999	1451.001	1207.999	1186.999	1254	3327.999	2734	2850
"ENSMUSG00000001100"	570	623	702	403.999	353	479	251	387	270	371	450	309	305	379	419	351.001	352	339
"ENSMUSG00000001103"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000001105"	308	440.999	444.999	257	260	489	247	250	271	349.999	338	350	293	320	405	396	322	364
"ENSMUSG00000001119"	77	123	271	410	125	1931	107	184	373	268	83	432	174	52	243	43	47	102
"ENSMUSG00000001120"	12	11	30	83.999	104	217	101	96	138.001	93	97	120.001	101	83	128	48.999	50	35
"ENSMUSG00000001123"	1613	1561	1852	1636	1737	2251	2120	2019	1984	1873.999	2021.999	2195.001	1891	2061	1870	4939.999	3865	4389
"ENSMUSG00000001127"	1101	1237.999	1337.001	1374.999	1455	1741	1265.999	1365.001	1321	1173	1470	1238.999	1195.001	1218	1244	1143	919	1087.999
"ENSMUSG00000001128"	3553	3253	3968	3427	3694	5068	1651	2055	1370	7643	8822	8612	5593	6188	5847	2415	1934	2637
"ENSMUSG00000001131"	36	13	9	12	25	93	17	7	10	89	113	91	81	34	95	19	15	38
"ENSMUSG00000001134"	187	161	228	68	99	152	123	79	110	99	160	126.001	110	148	153	168.999	146.001	222.999
"ENSMUSG00000001138"	622	718	676	395	497	490.001	458	713.001	488	455	633	390	488.999	566	436	300	296	240.001
"ENSMUSG00000001143"	605	569.999	573.999	650	671	751.999	597	658	562.001	662.002	739	598	666	699	674	856.001	762.999	721
"ENSMUSG00000001150"	897	998	909	732	940	884	755	995	919	799	1098	684	840	897	934	871	758	629
"ENSMUSG00000001151"	994	1398.999	1235	1256.001	1424	1355	1354	1480	1496	1142	1586.001	966.999	1463	1499.001	1613.999	1130	1042	745
"ENSMUSG00000001155"	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000001156"	1286	1398	1406	1326	1231.999	1526	1015.999	1097.999	974.999	1398.999	1478.999	1340	1263	1015	1391	8780	5857.001	6652
"ENSMUSG00000001157"	852	1142	854	197	201	224	171	200	155	258	209	171	160	184	187	248	194	260
"ENSMUSG00000001158"	523	648	553	319	252	329	236	303	194	299	397	332	283	488	314	559	435	450
"ENSMUSG00000001166"	82	92	122	86	86	101	69	56	50	75	78	69	90	45	43	92	62	88
"ENSMUSG00000001168"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000001173"	1281	1378	1229.999	1444	1610	1494.999	1634	1631	1407	1650.001	1916.001	1554.001	1600.999	1803	2013	668	535.999	464
"ENSMUSG00000001175"	20991.999	22565.999	23722	13770.999	13445	16947	16893	14892	15104.998	13929.999	15274.999	14667.001	14157	15442	16236.999	26987	22404.001	32788.001
"ENSMUSG00000001211"	1241.001	1388	1696.001	960.001	966.001	1255	1091	1229	1377	1342.001	1603	1363.001	1751	1789	1927.999	656	636.999	794.001
"ENSMUSG00000001225"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000001227"	260	395	293	480	606	696	393	495	456	1128	1582	1249	1480	1210	1550	290	168	210
"ENSMUSG00000001228"	580.999	596	387	248	246	323	183	259	94	235.001	306	257	191.999	303	211.001	24	51	17
"ENSMUSG00000001229"	1778	1818	2130	1022	1205	1393	1143	1243	1239	1042	1467	1179.999	1210	1180	1287.999	1264	1229.999	1114
"ENSMUSG00000001240"	83.999	123	292	295.001	58	1390.001	84.999	83	357	152	47	361.999	155	104	170	110.001	130	147
"ENSMUSG00000001247"	3959	4217.999	4784.999	615	761.999	892.999	836	1060.999	919	526	612	675	641	615	658.001	1299.999	900	1184
"ENSMUSG00000001248"	1034	1138	1263.001	2981	2911	3984	2997	2924.999	3159.999	3008	3642	3138	3370	2829.999	3210	1583.999	1236	1228.001
"ENSMUSG00000001249"	76	85	60	81.001	81	106.999	103.001	105	111	99	131.001	51	158.001	210	96	46	44	37
"ENSMUSG00000001260"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
